nome_original,nome_normalizado,frequencia,prevalencia,incluida_modelo,motivo
Alarme de monóxido de carbono,alarme de monoxido de carbono,257,0.05786984913307813,False,fora do intervalo 10-90% ou não top10 por frequência
Churrasqueira: a carvão,churrasqueira: a carvao,133,0.02994820986264355,False,fora do intervalo 10-90% ou não top10 por frequência
Estadias de longa duração são permitidas,estadias de longa duracao sao permitidas,842,0.18959693762666066,False,fora do intervalo 10-90% ou não top10 por frequência
Fechadura inteligente,fechadura inteligente,122,0.027471290249943707,False,fora do intervalo 10-90% ou não top10 por frequência
Limpeza disponível durante a estadia,limpeza disponivel durante a estadia,114,0.025669894167980184,False,fora do intervalo 10-90% ou não top10 por frequência
Aquecimento,aquecimento,287,0.06462508444044134,False,fora do intervalo 10-90% ou não top10 por frequência
Vista para o horizonte da cidade,vista para o horizonte da cidade,168,0.037829317721233956,False,fora do intervalo 10-90% ou não top10 por frequência
Vista para o pátio,vista para o patio,61,0.013735645124971853,False,fora do intervalo 10-90% ou não top10 por frequência
Vista para o jardim,vista para o jardim,38,0.008556631389326727,False,fora do intervalo 10-90% ou não top10 por frequência
Vista para as montanhas,vista para as montanhas,121,0.027246115739698266,False,fora do intervalo 10-90% ou não top10 por frequência
Sabonete para o corpo,sabonete para o corpo,278,0.06259851384823238,False,fora do intervalo 10-90% ou não top10 por frequência
Máquina de lavar na acomodação por Gratuito,maquina de lavar na acomodacao por gratuito,597,0.1344291826165278,False,fora do intervalo 10-90% ou não top10 por frequência
Cadeira alta com assento de elevação: sempre na acomodação,cadeira alta com assento de elevacao: sempre na acomodacao,4,0.0009006980409817609,False,fora do intervalo 10-90% ou não top10 por frequência
Pratos e talheres para crianças,pratos e talheres para criancas,120,0.027020941229452825,False,fora do intervalo 10-90% ou não top10 por frequência
Rede/grade de proteção nas janelas,rede/grade de protecao nas janelas,251,0.05651880207160549,False,fora do intervalo 10-90% ou não top10 por frequência
Protetores de tomada,protetores de tomada,21,0.0047286647151542445,False,fora do intervalo 10-90% ou não top10 por frequência
Parque infantil ao ar livre,parque infantil ao ar livre,73,0.016437739247917135,False,fora do intervalo 10-90% ou não top10 por frequência
Ar-condicionado de janela/parede,ar-condicionado de janela/parede,140,0.03152443143436163,False,fora do intervalo 10-90% ou não top10 por frequência
Ventiladores portáteis,ventiladores portateis,478,0.10763341589732042,False,fora do intervalo 10-90% ou não top10 por frequência
Câmeras de segurança na parte externa da propriedade,cameras de seguranca na parte externa da propriedade,1040,0.2341814906552578,False,fora do intervalo 10-90% ou não top10 por frequência
Wifi portátil,wifi portatil,82,0.0184643098401261,False,fora do intervalo 10-90% ou não top10 por frequência
Cafeteira,cafeteira,634,0.1427606394956091,False,fora do intervalo 10-90% ou não top10 por frequência
Café,cafe,296,0.0666516550326503,False,fora do intervalo 10-90% ou não top10 por frequência
Quintal,quintal,164,0.0369286196802522,False,fora do intervalo 10-90% ou não top10 por frequência
Rede,rede,178,0.04008106282368836,False,fora do intervalo 10-90% ou não top10 por frequência
Estacionamento pago no local,estacionamento pago no local,77,0.017338437288898896,False,fora do intervalo 10-90% ou não top10 por frequência
É permitido deixar as malas,e permitido deixar as malas,398,0.0896194550776852,False,fora do intervalo 10-90% ou não top10 por frequência
Livros e brinquedos infantis,livros e brinquedos infantis,66,0.014861517676199055,False,fora do intervalo 10-90% ou não top10 por frequência
Estacionamento pago fora da propriedade,estacionamento pago fora da propriedade,176,0.03963071380319748,False,fora do intervalo 10-90% ou não top10 por frequência
Local para guardar as roupas: guarda-roupa e cômoda,local para guardar as roupas: guarda-roupa e comoda,96,0.021616752983562262,False,fora do intervalo 10-90% ou não top10 por frequência
Estacionamento gratuito na propriedade: 1 vaga,estacionamento gratuito na propriedade: 1 vaga,9,0.002026570592208962,False,fora do intervalo 10-90% ou não top10 por frequência
Cadeira alta,cadeira alta,96,0.021616752983562262,False,fora do intervalo 10-90% ou não top10 por frequência
Vista para o oceano,vista para o oceano,299,0.06732717856338663,False,fora do intervalo 10-90% ou não top10 por frequência
Vista para a baía,vista para a baia,77,0.017338437288898896,False,fora do intervalo 10-90% ou não top10 por frequência
Vista para a praia,vista para a praia,724,0.16302634541769873,False,fora do intervalo 10-90% ou não top10 por frequência
HDTV com Netflix,hdtv com netflix,32,0.007205584327854087,False,fora do intervalo 10-90% ou não top10 por frequência
Jogos em tamanho real,jogos em tamanho real,7,0.0015762215717180816,False,fora do intervalo 10-90% ou não top10 por frequência
Vista para as águas,vista para as aguas,521,0.11731591983787436,False,fora do intervalo 10-90% ou não top10 por frequência
Quintal compartilhado — totalmente cercado,quintal compartilhado  totalmente cercado,54,0.012159423553253772,False,fora do intervalo 10-90% ou não top10 por frequência
Churrasqueira privativa: a carvão,churrasqueira privativa: a carvao,152,0.03422652555730691,False,fora do intervalo 10-90% ou não top10 por frequência
Funcionários do edifício,funcionarios do edificio,135,0.03039855888313443,False,fora do intervalo 10-90% ou não top10 por frequência
"TV de alta definição de 55 polegadas com Netflix, TV a cabo","tv de alta definicao de 55 polegadas com netflix, tv a cabo",3,0.0006755235307363207,False,fora do intervalo 10-90% ou não top10 por frequência
Fogão elétrico de aço inoxidável,fogao eletrico de aco inoxidavel,7,0.0015762215717180816,False,fora do intervalo 10-90% ou não top10 por frequência
Forno normal de aço inoxidável,forno normal de aco inoxidavel,62,0.013960819635217293,False,fora do intervalo 10-90% ou não top10 por frequência
Cafeteira: cafeteira elétrica,cafeteira: cafeteira eletrica,296,0.0666516550326503,False,fora do intervalo 10-90% ou não top10 por frequência
Pátio ou varanda,patio ou varanda,351,0.07903625309614952,False,fora do intervalo 10-90% ou não top10 por frequência
Garagem residencial gratuita na propriedade:2 vagas,garagem residencial gratuita na propriedade:2 vagas,48,0.010808376491781131,False,fora do intervalo 10-90% ou não top10 por frequência
Secadora,secadora,257,0.05786984913307813,False,fora do intervalo 10-90% ou não top10 por frequência
Berço,berco,35,0.007881107858590407,False,fora do intervalo 10-90% ou não top10 por frequência
TV de 32 polegadas,tv de 32 polegadas,21,0.0047286647151542445,False,fora do intervalo 10-90% ou não top10 por frequência
Geladeira GE - duplex ,geladeira ge - duplex,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Fogão a gás de aço inoxidável,fogao a gas de aco inoxidavel,55,0.012384598063499211,False,fora do intervalo 10-90% ou não top10 por frequência
Itens básicos de praia,itens basicos de praia,364,0.08196352172934024,False,fora do intervalo 10-90% ou não top10 por frequência
Estacionamento gratuito em garagem na propriedade: 1 vaga,estacionamento gratuito em garagem na propriedade: 1 vaga,191,0.04300833145687908,False,fora do intervalo 10-90% ou não top10 por frequência
Mesa de ping pong,mesa de ping pong,21,0.0047286647151542445,False,fora do intervalo 10-90% ou não top10 por frequência
Mesa de bilhar,mesa de bilhar,249,0.05606845305111462,False,fora do intervalo 10-90% ou não top10 por frequência
Rampa de skate,rampa de skate,15,0.003377617653681603,False,fora do intervalo 10-90% ou não top10 por frequência
Sala de jogos para crianças,sala de jogos para criancas,30,0.006755235307363206,False,fora do intervalo 10-90% ou não top10 por frequência
Banheira,banheira,99,0.022292276514298583,False,fora do intervalo 10-90% ou não top10 por frequência
Bidê,bide,112,0.025219545147489305,False,fora do intervalo 10-90% ou não top10 por frequência
Kit de primeiros socorros,kit de primeiros socorros,173,0.03895519027246116,False,fora do intervalo 10-90% ou não top10 por frequência
Xampu,xampu,136,0.03062373339337987,False,fora do intervalo 10-90% ou não top10 por frequência
Condicionador,condicionador,86,0.019365007881107857,False,fora do intervalo 10-90% ou não top10 por frequência
Gel de banho,gel de banho,30,0.006755235307363206,False,fora do intervalo 10-90% ou não top10 por frequência
Equipamento ginástica,equipamento ginastica,172,0.038730015762215714,False,fora do intervalo 10-90% ou não top10 por frequência
Fliperama,fliperama,13,0.0029272686331907227,False,fora do intervalo 10-90% ou não top10 por frequência
Cinema,cinema,9,0.002026570592208962,False,fora do intervalo 10-90% ou não top10 por frequência
Pista de boliche,pista de boliche,68,0.015311866696689935,False,fora do intervalo 10-90% ou não top10 por frequência
Frigobar,frigobar,228,0.05133978833596037,False,fora do intervalo 10-90% ou não top10 por frequência
Cafeteira: Nespresso,cafeteira: nespresso,19,0.004278315694663364,False,fora do intervalo 10-90% ou não top10 por frequência
Piscina,piscina,272,0.06124746678675974,False,fora do intervalo 10-90% ou não top10 por frequência
Sauna,sauna,41,0.00923215492006305,False,fora do intervalo 10-90% ou não top10 por frequência
Academia,academia,111,0.024994370637243864,False,fora do intervalo 10-90% ou não top10 por frequência
Vista para a piscina,vista para a piscina,28,0.006304886286872326,False,fora do intervalo 10-90% ou não top10 por frequência
Piscina privativa,piscina privativa,22,0.004953839225399685,False,fora do intervalo 10-90% ou não top10 por frequência
Fogão elétrico Other,fogao eletrico other,31,0.0069804098176086465,False,fora do intervalo 10-90% ou não top10 por frequência
Fogão a gás,fogao a gas,355,0.07993695113713127,False,fora do intervalo 10-90% ou não top10 por frequência
TV com TV a cabo,tv com tv a cabo,120,0.027020941229452825,False,fora do intervalo 10-90% ou não top10 por frequência
Jacuzzi,jacuzzi,81,0.018239135329880658,False,fora do intervalo 10-90% ou não top10 por frequência
Piscina compartilhada,piscina compartilhada,22,0.004953839225399685,False,fora do intervalo 10-90% ou não top10 por frequência
Geladeira electrolux,geladeira electrolux,43,0.009682503940553928,False,fora do intervalo 10-90% ou não top10 por frequência
Fogão electrolux de aço inoxidável,fogao electrolux de aco inoxidavel,3,0.0006755235307363207,False,fora do intervalo 10-90% ou não top10 por frequência
Forno electrolux de aço inoxidável,forno electrolux de aco inoxidavel,4,0.0009006980409817609,False,fora do intervalo 10-90% ou não top10 por frequência
Vista para o mar,vista para o mar,338,0.07610898446295879,False,fora do intervalo 10-90% ou não top10 por frequência
Fogão elétrico,fogao eletrico,47,0.01058320198153569,False,fora do intervalo 10-90% ou não top10 por frequência
Livros e material de leitura,livros e material de leitura,158,0.03557757261877956,False,fora do intervalo 10-90% ou não top10 por frequência
Tranca na porta do quarto,tranca na porta do quarto,165,0.037153794190497635,False,fora do intervalo 10-90% ou não top10 por frequência
TV de alta definição de 32 polegadas,tv de alta definicao de 32 polegadas,23,0.005179013735645125,False,fora do intervalo 10-90% ou não top10 por frequência
Sala temática,sala tematica,3,0.0006755235307363207,False,fora do intervalo 10-90% ou não top10 por frequência
Cadeira alta com encaixe para mesa,cadeira alta com encaixe para mesa,2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
Jogos de tabuleiro,jogos de tabuleiro,184,0.041432109885161,False,fora do intervalo 10-90% ou não top10 por frequência
Cadeira espreguiçadeira,cadeira espreguicadeira,108,0.024318847106507543,False,fora do intervalo 10-90% ou não top10 por frequência
Academia compartilhada (no prédio),academia compartilhada (no predio),32,0.007205584327854087,False,fora do intervalo 10-90% ou não top10 por frequência
Portões de segurança para bebês,portoes de seguranca para bebes,36,0.008106282368835848,False,fora do intervalo 10-90% ou não top10 por frequência
Forno de aço inoxidável,forno de aco inoxidavel,132,0.02972303535239811,False,fora do intervalo 10-90% ou não top10 por frequência
"TV de alta definição de 43 polegadas com Netflix, Amazon Prime Video, Disney+","tv de alta definicao de 43 polegadas com netflix, amazon prime video, disney+",1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Wi-Fi rápido (58 Mbps),wi-fi rapido (58 mbps),1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Acesso ao resort,acesso ao resort,7,0.0015762215717180816,False,fora do intervalo 10-90% ou não top10 por frequência
Pátio ou varanda compartilhada,patio ou varanda compartilhada,95,0.02139157847331682,False,fora do intervalo 10-90% ou não top10 por frequência
Teclado numérico,teclado numerico,145,0.03265030398558883,False,fora do intervalo 10-90% ou não top10 por frequência
Forno normal Consul de aço inoxidável,forno normal consul de aco inoxidavel,3,0.0006755235307363207,False,fora do intervalo 10-90% ou não top10 por frequência
Local para guardar as roupas: closet,local para guardar as roupas: closet,49,0.01103355100202657,False,fora do intervalo 10-90% ou não top10 por frequência
Vista para o vale,vista para o vale,8,0.0018013960819635217,False,fora do intervalo 10-90% ou não top10 por frequência
"TV de alta definição de 58 polegadas com Amazon Prime Video, Disney+, HBO Max, Netflix, TV a cabo","tv de alta definicao de 58 polegadas com amazon prime video, disney+, hbo max, netflix, tv a cabo",1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Ar-condicionado central,ar-condicionado central,41,0.00923215492006305,False,fora do intervalo 10-90% ou não top10 por frequência
Fogão a gás Brastemp,fogao a gas brastemp,18,0.004053141184417924,False,fora do intervalo 10-90% ou não top10 por frequência
"Churrasqueira: a carvão, elétrica","churrasqueira: a carvao, eletrica",4,0.0009006980409817609,False,fora do intervalo 10-90% ou não top10 por frequência
Casa térrea,casa terrea,108,0.024318847106507543,False,fora do intervalo 10-90% ou não top10 por frequência
Secadora na acomodação por Gratuito,secadora na acomodacao por gratuito,217,0.048862868723260525,False,fora do intervalo 10-90% ou não top10 por frequência
"TV de alta definição de 55 polegadas com Netflix, Amazon Prime Video","tv de alta definicao de 55 polegadas com netflix, amazon prime video",1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Forno normal Philco,forno normal philco,4,0.0009006980409817609,False,fora do intervalo 10-90% ou não top10 por frequência
"Cafeteira: cafeteira elétrica, cafeteira com coador","cafeteira: cafeteira eletrica, cafeteira com coador",28,0.006304886286872326,False,fora do intervalo 10-90% ou não top10 por frequência
Recomendações de babás,recomendacoes de babas,20,0.004503490204908804,False,fora do intervalo 10-90% ou não top10 por frequência
Lareira interna,lareira interna,40,0.009006980409817608,False,fora do intervalo 10-90% ou não top10 por frequência
Panela elétrica de arroz,panela eletrica de arroz,59,0.013285296104480973,False,fora do intervalo 10-90% ou não top10 por frequência
Vista para o porto,vista para o porto,2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
Lava-louças,lava-loucas,136,0.03062373339337987,False,fora do intervalo 10-90% ou não top10 por frequência
Máquina de pão,maquina de pao,19,0.004278315694663364,False,fora do intervalo 10-90% ou não top10 por frequência
Acesso à praia compartilhado — à beira-mar,acesso a praia compartilhado  a beira-mar,112,0.025219545147489305,False,fora do intervalo 10-90% ou não top10 por frequência
Sistema de som,sistema de som,51,0.011483900022517451,False,fora do intervalo 10-90% ou não top10 por frequência
Livros e brinquedos infantis para crianças de 0 a 2 anos de idade,livros e brinquedos infantis para criancas de 0 a 2 anos de idade,2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
Banheira de bebê: sempre na acomodação,banheira de bebe: sempre na acomodacao,12,0.002702094122945283,False,fora do intervalo 10-90% ou não top10 por frequência
Wi-Fi rápido (262 Mbps),wi-fi rapido (262 mbps),1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Bicicletas,bicicletas,37,0.008331456879081288,False,fora do intervalo 10-90% ou não top10 por frequência
"TV de alta definição de 32 polegadas com Netflix, TV a cabo","tv de alta definicao de 32 polegadas com netflix, tv a cabo",5,0.001125872551227201,False,fora do intervalo 10-90% ou não top10 por frequência
Banheira de bebê,banheira de bebe,41,0.00923215492006305,False,fora do intervalo 10-90% ou não top10 por frequência
Wi-Fi rápido (94 Mbps),wi-fi rapido (94 mbps),2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
Fogão a gás Fischer ,fogao a gas fischer,18,0.004053141184417924,False,fora do intervalo 10-90% ou não top10 por frequência
Sabonete Diversos para o corpo,sabonete diversos para o corpo,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
TV de alta definição de 50 polegadas com Netflix,tv de alta definicao de 50 polegadas com netflix,12,0.002702094122945283,False,fora do intervalo 10-90% ou não top10 por frequência
Wi-Fi rápido (229 Mbps),wi-fi rapido (229 mbps),1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Garagem residencial gratuita na propriedade: 1 vaga,garagem residencial gratuita na propriedade: 1 vaga,70,0.015762215717180814,False,fora do intervalo 10-90% ou não top10 por frequência
HDTV com Chromecast,hdtv com chromecast,4,0.0009006980409817609,False,fora do intervalo 10-90% ou não top10 por frequência
TV de alta definição de 32 polegadas com TV a cabo,tv de alta definicao de 32 polegadas com tv a cabo,6,0.0013510470614726414,False,fora do intervalo 10-90% ou não top10 por frequência
Protetores de cantos de mesa,protetores de cantos de mesa,15,0.003377617653681603,False,fora do intervalo 10-90% ou não top10 por frequência
Aquecedor split,aquecedor split,73,0.016437739247917135,False,fora do intervalo 10-90% ou não top10 por frequência
Forno normal Eletrolux  de aço inoxidável,forno normal eletrolux  de aco inoxidavel,2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
Quintal privado — totalmente cercado,quintal privado  totalmente cercado,71,0.015987390227426256,False,fora do intervalo 10-90% ou não top10 por frequência
"Cozinha ao ar livre com forno, pia","cozinha ao ar livre com forno, pia",7,0.0015762215717180816,False,fora do intervalo 10-90% ou não top10 por frequência
"TV de 43 polegadas com Apple TV, TV a cabo","tv de 43 polegadas com apple tv, tv a cabo",1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Wi-Fi rápido (582 Mbps),wi-fi rapido (582 mbps),1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Fogão a gás Electrolux,fogao a gas electrolux,17,0.003827966674172484,False,fora do intervalo 10-90% ou não top10 por frequência
Estacionamento gratuito em garagem na propriedade: 2 vagas,estacionamento gratuito em garagem na propriedade: 2 vagas,99,0.022292276514298583,False,fora do intervalo 10-90% ou não top10 por frequência
Fogão de aço inoxidável,fogao de aco inoxidavel,7,0.0015762215717180816,False,fora do intervalo 10-90% ou não top10 por frequência
Vista para o lago,vista para o lago,6,0.0013510470614726414,False,fora do intervalo 10-90% ou não top10 por frequência
Vista para o parque,vista para o parque,10,0.002251745102454402,False,fora do intervalo 10-90% ou não top10 por frequência
Vista para o rio,vista para o rio,22,0.004953839225399685,False,fora do intervalo 10-90% ou não top10 por frequência
"TV de alta definição de 55 polegadas com Netflix, TV a cabo premium","tv de alta definicao de 55 polegadas com netflix, tv a cabo premium",3,0.0006755235307363207,False,fora do intervalo 10-90% ou não top10 por frequência
"Equipamento para exercícios: elíptico, halteres","equipamento para exercicios: eliptico, halteres",1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Cercadinho/berço portátil,cercadinho/berco portatil,11,0.0024769196126998424,False,fora do intervalo 10-90% ou não top10 por frequência
TV de 42 polegadas,tv de 42 polegadas,2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
"TV de alta definição de 55 polegadas com Netflix, TV a cabo premium, TV a cabo","tv de alta definicao de 55 polegadas com netflix, tv a cabo premium, tv a cabo",1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Quintal privado,quintal privado,11,0.0024769196126998424,False,fora do intervalo 10-90% ou não top10 por frequência
"TV de alta definição de 60 polegadas com Amazon Prime Video, Netflix","tv de alta definicao de 60 polegadas com amazon prime video, netflix",2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
Geladeira Eletrolux,geladeira eletrolux,45,0.01013285296104481,False,fora do intervalo 10-90% ou não top10 por frequência
Fogão a gás Electrolux de aço inoxidável,fogao a gas electrolux de aco inoxidavel,8,0.0018013960819635217,False,fora do intervalo 10-90% ou não top10 por frequência
TV de alta definição de 32 polegadas com Chromecast,tv de alta definicao de 32 polegadas com chromecast,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Wi-Fi: 39 Mbps,wi-fi: 39 mbps,2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
Cozinha ao ar livre,cozinha ao ar livre,29,0.006530060797117767,False,fora do intervalo 10-90% ou não top10 por frequência
Geladeira Brastemp ,geladeira brastemp,70,0.015762215717180814,False,fora do intervalo 10-90% ou não top10 por frequência
"Local para guardar as roupas: closet, closet, guarda-roupa e cômoda","local para guardar as roupas: closet, closet, guarda-roupa e comoda",7,0.0015762215717180816,False,fora do intervalo 10-90% ou não top10 por frequência
Jacuzzi privativa,jacuzzi privativa,32,0.007205584327854087,False,fora do intervalo 10-90% ou não top10 por frequência
TV de alta definição de 55 polegadas,tv de alta definicao de 55 polegadas,11,0.0024769196126998424,False,fora do intervalo 10-90% ou não top10 por frequência
Fogão a gás Dako,fogao a gas dako,3,0.0006755235307363207,False,fora do intervalo 10-90% ou não top10 por frequência
"Piscina interna compartilhada - disponível o ano todo, disponível 24 horas","piscina interna compartilhada - disponivel o ano todo, disponivel 24 horas",1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Jacuzzi compartilhada,jacuzzi compartilhada,6,0.0013510470614726414,False,fora do intervalo 10-90% ou não top10 por frequência
Console de video game,console de video game,11,0.0024769196126998424,False,fora do intervalo 10-90% ou não top10 por frequência
TV de 40 polegadas,tv de 40 polegadas,8,0.0018013960819635217,False,fora do intervalo 10-90% ou não top10 por frequência
Geladeira Eleteolux ,geladeira eleteolux,1,0.00022517451024544022,False,fora do intervalo 10-90% ou não top10 por frequência
Forno philco,forno philco,2,0.00045034902049088043,False,fora do intervalo 10-90% ou não top10 por frequência
